僵尸王爷/僵尸王爷.2015	2015/11/28	/subject/27421.html
美式极端/废柴特务/American Ultra.2015	2015/11/12	/subject/27361.html
非我/换命游戏/换命法则/Self/less.2015	2015/08/30	/subject/27069.html
幸存者(电影)2015/Survivor.2015	2015/05/31	/subject/26772.html
十一月杀手/諜網暗戰/The November Man.2014	2014/09/27	/subject/26045.html
塔米的旅行/Tammy.2014	2014/07/25	/subject/25749.html
震撼杀戮/破坏者/毒火追击/Sabotage.2014	2014/07/10	/subject/25624.html
危险的传言/危险的传闻/위험한 소문 : 찌라시.2014	2014/07/14	/subject/25658.html
彷徨之刃电影迅雷下载/방황하는 칼날.2014	2014/07/14	/subject/25657.html
二龙湖浩哥之风云再起/二龙湖浩哥之风云再起.2014	2014/06/19	/subject/25486.html
该死的歌德/Fack ju Göthe.2013	2014/05/16	/subject/25256.html
后备空姐/后备空姐.2014	2014/04/30	/subject/25154.html
过山车/롤러코스터.2013	2014/04/28	/subject/25118.html
魔法之家/The House of Magic.2013	2014/05/12	/subject/25232.html
回家的路/집으로 가는 길.2013	2014/05/08	/subject/25211.html
24小时：再活一天/24: Live Another Day.2014	2014/05/08	/subject/25210.html
选秀日/Draft Day.2014	2014/04/18	/subject/25011.html
破坏者/Sabotage.2014	2014/04/18	/subject/25010.html
强哲/깡철이.2013	2014/03/16	/subject/24637.html
三日刺杀/3 Days to Kill.2014	2014/02/24	/subject/24335.html
嫌疑人/용의자.2013	2014/01/28	/subject/23845.html
我，弗兰肯斯坦/I, Frankenstein.2014	2014/01/28	/subject/23842.html
新抱喜相逢/新抱喜相逢.2014	2014/01/25	/subject/23757.html
正义联盟：战争/Justice League: War.2014	2014/01/22	/subject/23676.html
同窗/동창생.2013	2014/01/24	/subject/23723.html
大力神/The Legend of Hercules.2014	2014/01/20	/subject/23641.html
隐秘而伟大/은밀하게 위대하게.2013	2014/04/09	/subject/23430.html
The Purifiers/The Purifiers.2004	2014/01/09	/plus/view.php?aid=23383
斑马库巴/Khumba.2013	2013/12/28	/subject/23271.html
猫屎妈妈/貓屎媽媽.2014	2013/12/28	/subject/23266.html
华颐：吞噬怪物的孩子/화이 : 괴물을 삼킨 아이.2013	2013/12/13	/subject/22978.html
少女/소녀.2013	2013/11/21	/subject/22481.html
金蝉脱壳/Escape Plan.2013	2013/10/23	/subject/21897.html
午餐盒/Dabba.2013	2013/09/24	/subject/21248.html
神枪狙击/神鎗狙擊.2013	2013/09/14	/subject/21067.html
被偷走的那五年/被偷走的那五年.2013	2013/09/09	/subject/20980.html
冲上云霄II/衝上雲霄II.2013	2013/09/06	/subject/20918.html
监视者们/감시자들.2013	2013/08/28	/subject/20742.html
海扁王2/Kick-Ass 2.2013	2013/08/20	/subject/20605.html
从地心窜出2/Tremors II: Aftershocks.1996	2013/08/19	/subject/20587.html
抗争 第一季/Defiance.2013	2013/07/10	/subject/19942.html
爱在午夜降临前/Before Midnight.2013	2013/07/15	/subject/20001.html
传说的拳头/전설의 주먹.2013	2013/06/22	/subject/19675.html
身份窃贼/Identity Thief.2013	2013/03/03	/subject/17980.html
狼族少年/늑대소년.2012	2013/02/22	/subject/17879.html
安娜·卡列尼娜/Anna Karenina.2012	2013/01/08	/subject/17250.html
完美音调/Pitch Perfect.2012	2012/12/05	/subject/16728.html
摇滚青春/Rock It!.2010	2012/10/26	/subject/16103.html
行尸走肉 第三季/The Walking Dead.2012	2012/10/17	/subject/15959.html
逆世界/Upside Down.2013	2012/09/24	/subject/15588.html
大捕房.2011	2012/08/22	/subject/14957.html
笑傲江湖.2001	2012/08/22	/subject/14956.html
大白鲨/Jaws.1975	2012/08/04	/subject/14612.html
老雷斯的故事/Dr. Seuss' The Lorax.2012	2012/07/17	/subject/14169.html
爸爸的好儿子/That\'s My Boy.2012	2012/07/16	/subject/14145.html
谍影迷情/Covert Affairs.2010	2012/07/10	/subject/13970.html
幻影车神/Dhoom.2004	2012/07/09	/subject/13507.html
沉重的决定/Wer früher stirbt, ist länger tot.2006	2013/03/10	/subject/12871.html
白虎/Белый Тигр.2012	2013/03/10	/subject/12863.html
新 你所不知道的世界/新あなたの知らない世界.2011	2013/03/10	/subject/12823.html
失踪宝贝/Gone Baby Gone.2007	2013/03/10	/subject/12796.html
Amerikanskiy shpion.1991	2012/05/24	/subject/12566.html
The Aggression Scale.	2012/05/21	/subject/12546.html
The Man Under the Bed.1912	2012/04/21	/subject/12174.html
Night Vision.1987	2012/04/18	/subject/12142.html
谍影重重3/The Bourne Ultimatum.2007	2012/04/08	/subject/11018.html
禁运品/Contraband.2012	2012/04/08	/subject/11010.html
盗贼联盟/도둑들.2013	2012/04/07	/subject/10993.html
冬荫功2：拳霸天下/ต้มยำกุ้ง 2.2013	2012/04/07	/subject/10525.html
仙剑奇侠传三.2009	2012/04/04	/subject/10266.html
人人都爱雷蒙德 /Everybody Loves Raymond: .2003	2012/04/04	/subject/10222.html
守望的天空.2012	2012/04/04	/subject/10210.html
里昂黑帮 .	2012/04/04	/subject/10195.html
玩偶/Dolls.2002	2012/04/03	/subject/10194.html
蜗牛餐厅/食堂かたつむり.2010	2012/04/03	/subject/10193.html
龍飛鳳舞.2012	2012/04/03	/subject/10191.html
魍魎之匣/魍魎の匣.2008	2012/04/02	/subject/10183.html
折腾.2010	2012/04/02	/subject/10180.html
拳坛暗影/аНИ Я РЕМЭЧ.2005	2012/04/02	/subject/10178.html
抽象画中的越南少女/므이.2007	2012/04/02	/subject/10176.html
午夜之爱/เฉิ่ม.2005	2012/04/02	/subject/10172.html
五月八月.2002	2012/03/30	/subject/10147.html
请别相信她/그녀를 믿지 마세요.2004	2012/03/29	/subject/10138.html
半身死灵/テケテケ.2009	2012/03/29	/subject/10137.html
涉谷超恐怖怪談~不思議都市傳說/涉谷超恐怖怪談不思議都市傳說.2004	2012/03/29	/subject/10136.html
四大美人儿.2009	2012/03/27	/subject/10103.html
万圣节系列恐怖电影25周年/Halloween: 25 Years of Terror.2006	2013/03/10	/subject/10098.html
名侦探柯南：引爆摩天楼/名探偵コナン 時計じかけの摩天楼.1997	2012/03/27	/subject/10092.html
飞天舞.	2012/03/27	/subject/10089.html
在我遗忘之前/Avant que j\'oublie.2007	2013/03/10	/subject/10087.html
最后的请求/"Alfred Hitchcock Presents"Last Request.1957	2012/03/22	/subject/10030.html
基督最后的诱惑/The Last Temptation of Christ.1988	2012/03/22	/subject/10029.html
从地心窜出/Tremors.1990	2012/03/27	/subject/10086.html
抵抗/Resistance.2003	2012/03/26	/subject/10078.html
大马戏团.1964	2012/04/04	/subject/10072.html
外遇游戏/Cold Heart.2001	2012/03/24	/subject/10068.html
爱欲旋律/Canone inverso - making love.2000	2012/03/24	/subject/10067.html
脂粉双雄.1990	2012/03/24	/subject/10066.html
偷欢陷井.1972	2012/03/24	/subject/10063.html
安达卢西亚：女神的报复/アンダルシア 女神の報復.2011	2012/03/24	/subject/10061.html
逃学威凤/잠복근무.2005	2012/03/21	/subject/10024.html
六月的日记/6wol-ui ilgi.2005	2012/03/21	/subject/10021.html
杀人夜/Nightkill.1980	2012/03/21	/subject/10020.html
天才与白痴/天才與白痴.1975	2012/03/18	/subject/9979.html
American Film Institute Salute to Alfred Hitchcock.	2012/03/18	/subject/9976.html
开心大冒险.2012	2012/03/18	/subject/9960.html
小鬼精灵.1992	2012/03/15	/subject/9935.html
鬼铃/Phone.2002	2012/03/18	/subject/9953.html
白雪公主与猎人/Snow White and the Huntsman.2012	2012/03/12	/subject/9911.html
缺乏爱情对两个男人的影响.2006	2012/03/18	/subject/9951.html
嗜血之夜/Blood Night: The Legend of Mary Hatchet.2009	2012/03/12	/subject/9908.html
新孟丽君传奇/再生缘.	2012/03/16	/subject/9948.html
爱情谜语/愛情謎語.1988	2012/03/12	/subject/9907.html
魔鬼交锋/.45.2006	2012/03/16	/subject/9943.html
红白蓝噩梦/Nightmares in Red, White and Blue: The Evolution of the American Horror Film.2009	2012/03/15	/subject/9937.html
莫欺朋友妻/La Femme de Mon Pote.1983	2012/03/11	/subject/9875.html
鬼水怪谈/仄暗い水の底から.2002	2012/03/11	/subject/9874.html
即使这样也不是我做的/それでもボクはやってない.2006	2012/03/11	/subject/9873.html
十分爱.2007	2012/03/11	/subject/9871.html
野蛮师姐/내 여자 친구를 소개합니다.2004	2012/03/11	/subject/9870.html
悲伤电影/새드무비.2005	2012/03/11	/subject/9867.html
黑心母女/흑심모녀.2008	2012/03/11	/subject/9864.html
特警90III:明日天涯/明日天涯.1990	2012/03/11	/subject/9863.html
罗马，不设防的城市/Roma, città aperta.1945	2012/03/11	/subject/9862.html
恶女帮/Foxfire.1996	2012/03/10	/subject/9813.html
猎人/獵人.1969	2012/03/11	/subject/9861.html
隼鸟号/はやぶさ／HAYABUSA.2011	2012/03/10	/subject/9812.html
日本以外全部沉没/日本以外全部沈没.2006	2012/03/10	/subject/9809.html
会有天使替我爱你.	2012/03/11	/subject/9853.html
三街剧场/幽灵剧院.	2012/03/11	/subject/9852.html
龙之争霸.1989	2012/03/10	/subject/9803.html
幻影特攻.1998	2012/03/09	/subject/9798.html
学警狙击.2009	2012/03/11	/subject/9848.html
我的野蛮初恋/첫사랑 사수 궐기대회.2003	2012/03/09	/subject/9797.html
回归者/Returner.2002	2012/03/09	/subject/9794.html
玩尽杀绝.	2012/03/09	/subject/9793.html
同志音乐剧/The Big Gay Musical.2009	2012/03/09	/subject/9791.html
刺青.2007	2012/03/09	/subject/9785.html
间谍女孩.2004	2012/03/09	/subject/9781.html
河豚：一种渴望的味道/FUGU - A Taste to Die For.	2012/03/09	/subject/9780.html
老小姐日记/올드미스 다이어리.2006	2012/03/09	/subject/9778.html
九尾狐家族/구미호 가족.2006	2012/03/09	/subject/9777.html
残酷的上班/잔혹한 출근.2006	2012/03/09	/subject/9776.html
美少女战士真人版/美少女戦士セーラームーン 実写版.2003	2012/03/09	/subject/9775.html
尼伯龙根的指环/The Ring of the Nibelungs.2004	2012/03/09	/subject/9774.html
黑暗崛起/The Seeker: The Dark Is Rising.2007	2012/03/09	/subject/9773.html
无道里.2006	2012/03/09	/subject/9753.html
棒球英豪（TV Series）/タッチ（TV Series）.1985	2012/03/09	/subject/9770.html
折磨/Hets.1944	2012/03/09	/subject/9750.html
彩虹女神/虹の女神.2006	2012/03/09	/subject/9746.html
天使之卵/天使の卵.2006	2012/03/09	/subject/9767.html
女老师与女学生.2004	2012/03/09	/subject/9765.html
头师父一体/My Boss My Hero.2001	2012/03/09	/subject/9745.html
天上掉下个林妹妹.2010	2012/03/09	/subject/9736.html
谁拿了录像带.2004	2012/03/09	/subject/9735.html
七秒钟/7 Seconds.2005	2012/03/09	/subject/9732.html
恶魔战士/Darkstalkers: The Night Warriors.1998	2012/03/09	/subject/9730.html
寂静的世界/조용한세상.2006	2012/03/08	/subject/9664.html
墨尔本的中国风筝.2010	2012/03/07	/subject/9649.html
行尸走肉/The Walking Dead.2010	2012/02/28	/subject/9603.html
电梯惊魂/Lady in a Cage.1964	2012/03/07	/subject/9647.html
恶魔的孩子/Les diables.2002	2012/02/22	/subject/9588.html
奖杯/Trofej.1979	2012/03/07	/subject/9646.html
天才与白痴.1997	2012/02/22	/subject/9585.html
On Call 36小时.2012	2012/03/05	/subject/9639.html
Where the Mountains Meet.1914	2012/03/05	/subject/9636.html
欲望都市 /Sex and the City Season 1.1998	2012/03/04	/subject/9630.html
艺术家/The Artist.2011	2012/03/04	/subject/9626.html
尾随者竞技/TAILENDERS.2011	2012/02/19	/subject/9555.html
偷天换日大行动/Tunnel.2002	2012/02/19	/subject/9548.html
婚姻保卫战.2010	2012/02/13	/subject/9511.html
特别搜查总部/특수본.2011	2012/02/13	/subject/9510.html
勇士的碰撞/clash of warriors.	2012/02/08	/subject/9503.html
伊莲娜/Елена.2011	2012/02/05	/subject/9474.html
黑道快餐店/J\'ai toujours rêvé d\'être un gangster.2007	2013/03/10	/subject/9468.html
谁消灭了电动车/Who Killed the Electric Car?.2006	2012/02/03	/subject/9450.html
美国处女/Virgin on Bourbon Street.2009	2012/02/01	/subject/9428.html
Truth Be Told.2011	2012/01/15	/subject/9365.html
不可饶恕.	2012/01/15	/subject/9344.html
英雄 第一季/Heroes Season 1.2006	2012/01/15	/subject/9342.html
天伦之旅/Stanno tutti bene.1990	2012/01/15	/subject/9341.html
越狱 第二季/Prison Break: Proof of Innocence.	2012/01/15	/subject/9332.html
苍穹之法芙娜：天堂和地球/蒼穹のファフナー Heaven and Earth.2010	2012/01/15	/subject/9326.html
Morris: A Life with Bells On.2009	2012/01/12	/subject/9322.html
千山暮雪.2011	2012/01/12	/subject/9295.html
雨/Rain.2008	2012/01/11	/subject/9283.html
Mrs. Stirling.2007	2012/01/11	/subject/9281.html
纵横天下/Executive Suite.1954	2012/01/11	/subject/9181.html
木偶奇遇记.2008	2012/01/11	/subject/9179.html
World\'s Greatest Bar Bets.2008	2013/03/10	/subject/9177.html
明星之恋/Starstruck.2010	2012/01/11	/subject/9174.html
迷失海岸/The Lost Coast.2008	2012/01/11	/subject/9173.html
防弹推销员/bulletproof salesman.	2012/01/11	/subject/9172.html
婚姻生活/Married Life.2008	2012/01/11	/subject/9171.html
重要人物/The Heavy.2008	2012/01/11	/subject/9169.html
闪耀光芒/Shine a Light.2008	2012/01/11	/subject/9167.html
天赐圣水/Holy Water.2009	2013/03/10	/subject/9165.html
追踪/Chase.2010	2012/01/11	/subject/9162.html
Oxford Bags.1926	2012/01/11	/subject/9184.html
这不是弥赛亚/Not the Messiah (He\'s a Very Naughty Boy).2010	2013/03/10	/subject/9161.html
Burt Dow: Deep-Water Man.1983	2012/01/11	/subject/9160.html
小男人狂想曲/Perth.2005	2012/01/11	/subject/9159.html
杀手夜狂热/Tony Manero.2008	2012/01/11	/subject/9156.html
X档案 9.2 氯胺疑魂（下）/The X Files 9.2 Nothing Important Happened Today II.2001	2012/01/11	/subject/9155.html
狂浪少年摇滚梦/Wszystko co kocham.2009	2012/01/11	/subject/9154.html
终极格斗王/The Ultimate Fighter.2005	2012/01/11	/subject/9153.html
小小大力士3D/Little Hercules in 3-D.	2012/01/11	/subject/9152.html
Abilene Town.1946	2012/01/11	/subject/9148.html
2010 MTV电影颁奖典礼/2010 MTV Movie Awards.2010	2012/01/12	/subject/9147.html
至爱/No Greater Love.2009	2012/01/11	/subject/9146.html
Stigma.2000	2012/01/11	/subject/9144.html
罗维雷将军/Il generale della Rovere.1959	2012/01/11	/subject/9142.html
贝比/Baby.2008	2012/01/11	/subject/9138.html
爱情事件/Love Affair.1939	2012/01/11	/subject/9091.html
收养/L\'adoption.1979	2013/03/10	/subject/9137.html
芝麻街/Sesame Street.1969	2012/01/11	/subject/9090.html
最新协议/Le nouveau protocole.2008	2012/01/11	/subject/9136.html
妈妈去做头发了/Maman est chez le coiffeur.2009	2012/01/11	/subject/9088.html
霹雳雷神/Hammer of the Gods.2009	2012/01/11	/subject/9135.html
鬼电车/Kereta hantu Manggarai.2008	2012/01/11	/subject/9087.html
金融大恐慌/Rollover.1981	2012/01/11	/subject/9134.html
燃爱/ブリュレ.2008	2012/01/11	/subject/9132.html
V3街头帮派.2010	2012/01/11	/subject/9086.html
铁路战斗队/La bataille du rail.1946	2012/01/11	/subject/9131.html
"Hollywood" The Man with the Megaphone.1980	2013/03/10	/subject/9085.html
All My Friends Are Funeral Singers.2009	2012/01/11	/subject/9130.html
密西西比狂欢夜/Prom Night in Mississippi.2009	2012/01/11	/subject/9084.html
断掌事件/GOTH.2008	2012/01/11	/subject/9083.html
Just for the Record.1988	2012/01/11	/subject/9129.html
H.P. Lovecraft 集锦鬼故事之寒气逼人/Cool Air.1999	2012/01/11	/subject/9127.html
Room 36.2002	2012/01/13	/subject/9062.html
不知火检校/不知火検校.1960	2012/01/11	/subject/9081.html
西32大街/West 32nd.2007	2012/01/11	/subject/9060.html
Heavy Metal.2012	2012/01/11	/subject/9125.html
派对结束了/The Party\'s Over.1965	2013/03/10	/subject/9080.html
一屋半妻/HouseSitter.1992	2012/01/11	/subject/9059.html
White Wall.	2012/01/12	/subject/9079.html
蓝月亮升起/Blue Moon Rising.2010	2012/01/11	/subject/9078.html
福分/Blessed.2008	2012/01/11	/subject/9057.html
热浪/Heat Wave.1990	2012/01/11	/subject/9077.html
血口逃生/Boa.2006	2012/01/11	/subject/9054.html
爸爸/Farsan.2010	2012/01/11	/subject/9075.html
哈罗，UFO/안녕! 유에프오.2004	2012/01/11	/subject/9052.html
Driving with My Wife\'s Lover.2010	2013/03/10	/subject/9050.html
威胁/The Threat.1949	2013/03/10	/subject/9073.html
Monster by Moonlight! The Immortal Saga of \'The Wolf Man\'.1999	2013/03/10	/subject/9072.html
山精/Mountain Spirit.2009	2012/01/11	/subject/9049.html
Five Loose Women.1974	2012/01/11	/subject/9071.html
David Cross: Bigger & Blackerer.2010	2012/01/11	/subject/9048.html
雏菊/데이지.2006	2012/01/11	/subject/9047.html
Porn Shoot Massacre.2009	2012/01/11	/subject/9070.html
一个明星的诞生/A Star Is Born.1937	2012/01/11	/subject/9065.html
Meadowoods.2010	2012/01/11	/subject/9045.html
铅黄/Giallo.2009	2012/01/11	/subject/9064.html
异度空间.2002	2012/01/11	/subject/9043.html
空巢/Nido vacío, El.2008	2012/01/11	/subject/9042.html
空桶/Tomme tønner.2010	2012/01/11	/subject/9040.html
Un été sans point ni coup sûr.2008	2012/01/11	/subject/9039.html
Six Sex Scenes and a Murder.2008	2012/01/11	/subject/9038.html
死亡车神/Death Race 2000.1975	2012/01/11	/subject/9036.html
遗产/The Legacy.1956	2012/01/11	/subject/9035.html
当你觉得陌生/When You\'re Strange.2009	2013/03/10	/subject/9034.html
白光/White Lightnin\'.2009	2013/03/10	/subject/9032.html
The Gold Retrievers: Legend of the Lost Treasure.2009	2012/01/11	/subject/9031.html
男孩的战争/The War Boys.2009	2012/01/12	/subject/9030.html
小岛/Small Island.2009	2012/01/12	/subject/9029.html
中枢神经系统/The Nervous System.2009	2012/01/11	/subject/9028.html
The Underdog.1932	2012/01/11	/subject/9027.html
黄色的眼泪/黄色い涙.2007	2012/01/11	/subject/9026.html
英雄少年/5 huajai hero.	2012/01/11	/subject/9025.html
Fighting Politics.2009	2012/01/11	/subject/9023.html
全球闹鬼事件簿之极品案例/Most Haunted.2002	2012/01/11	/subject/9020.html
倘若上帝曾是太阳/What If God Were the Sun?.2007	2012/01/11	/subject/9019.html
洛纳杜恩/Lorna Doone.2000	2012/01/12	/subject/9018.html
女王神剑/Red Sonja.2010	2012/01/11	/subject/9017.html
Amanda.2006	2012/01/11	/subject/9016.html
Caught in the Crossfire.1995	2012/01/11	/subject/9015.html
John Lennon and the Plastic Ono Band: Sweet Toronto.2000	2012/01/11	/subject/8994.html
Pelle Politibil går i vannet.2009	2012/01/11	/subject/9013.html
英文版超级大块头之筋肉达人二世祖 ( 金肉人二世 )传奇/Ultimate Muscle: The Kinnikuman Legacy.2002	2012/01/11	/subject/8975.html
惊悚春宫/Pornography.	2012/01/12	/subject/8960.html
Poldark (1975) (TV series).1975	2012/01/11	/subject/8897.html
脸/Visages.2009	2012/01/11	/subject/8833.html
心碎往事/House of D.2004	2012/01/11	/subject/8831.html
爱你的五种方法/The Five Senses.1999	2012/01/11	/subject/8822.html
Arizona Raiders.1965	2012/01/11	/subject/8804.html
Daffy Duck - Rocket Squad.1956	2012/01/11	/subject/8797.html
明湖，威斯康星/Clear Lake, WI.2008	2012/01/11	/subject/8744.html
爱情是毒药/Love Is the Drug.2006	2012/01/11	/subject/8743.html
为老婆找个男人/Made for Each Other.2009	2012/01/11	/subject/8742.html
方糖/각설탕.2006	2012/01/11	/subject/8703.html
美丽的德蒙娜：一个爱情故事/Desdemona: A Love Story.2009	2012/01/11	/subject/8739.html
爵士春秋/All That Jazz.1979	2012/01/11	/subject/8702.html
Yoo-Hoo, Mrs. Goldberg.2009	2012/01/11	/subject/8737.html
他酷得像冰/Cool as Ice.1991	2012/01/11	/subject/8701.html
Yield to the Night.1956	2012/01/11	/subject/8736.html
棉花俱乐部/The Cotton Club.1984	2012/01/11	/subject/8700.html
查理·瓦伦丁/Charlie Valentine.2009	2012/01/11	/subject/8735.html
对不起，谢谢你/미안해, 고마워.2011	2012/01/11	/subject/8699.html
黑色的弧光/Dark Arc.2004	2012/01/11	/subject/8734.html
犯罪元素/Forbrydelsens element.1984	2012/01/11	/subject/8698.html
时尚牺牲品/Fashion Victim.2008	2012/01/11	/subject/8697.html
冒牌本拉登/Tere Bin Laden.2010	2012/01/11	/subject/8695.html
夜奔/The Night Runner.1957	2012/01/11	/subject/8694.html
儿童赛车/Kid Racer.2010	2012/01/11	/subject/8693.html
生命中不能承受之情/Bent.1997	2012/01/11	/subject/8692.html
乐韵情深/The Sandy Bottom Orchestra (TV).2000	2012/01/11	/subject/8691.html
Nightstalker.10 N	2012/01/12	/subject/8689.html
金牌女警1/Vice Academy.1988	2012/01/11	/subject/8687.html
西西里女孩/La siciliana ribelle.2009	2013/03/10	/subject/8686.html
Broken Lizard Stand Up.2010	2012/01/11	/subject/8685.html
刺心/L\'épine dans le coeur.2009	2013/03/10	/subject/8684.html
知己/The Confidant.	2012/01/11	/subject/8682.html
我家的秘密/My Family\'s Secret.2010	2013/03/10	/subject/8680.html
食人魔/Flesh for the Beast.2003	2012/01/11	/subject/8679.html
Blood Into Wine: The Arizona Stronghold.2010	2012/01/11	/subject/8678.html
多米诺效应/Domino Effect.2008	2012/01/11	/subject/8677.html
逃出坎大哈/Kandahar Break.2009	2012/01/11	/subject/8676.html
名利场/Vanity Fair.2004	2012/01/11	/subject/8675.html
克拉克·洛克菲勒是谁？/Who Is Clark Rockefeller?.2010	2012/01/11	/subject/8674.html
活死人之夜:复活/Night of the Living Dead: Reanimated.2009	2012/01/11	/subject/8613.html
